on,A565_volume,A565_principal_axis,A565_sphericity,A565_CND_number,A565_CND_mean_volume,overlap_fraction,distance
20190721_RI512_CTCF-AID_AUX_102a_102b_SIR_2C_ALN_THR_52,0.12,1.210775875,0.647814836,4,0.02465,0.160629921,0.243400285
20190721_RI512_CTCF-AID_AUX_102a_102b_SIR_2C_ALN_THR_53,0.1014,1.035484229,0.69124954,5,0.01684,0.141338336,0.267550838
20190721_RI512_CTCF-AID_AUX_102a_102b_SIR_2C_ALN_THR_54,0.1164,1.079028379,0.71549933,3,0.036,0.179661017,0.327043625
20190721_RI512_CTCF-AID_AUX_102a_102b_SIR_2C_ALN_THR_55,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20190721_RI512_CTCF-AID_AUX_102a_102b_SIR_2C_ALN_THR_56,0.0674,0.963496074,0.768931363,3,0.0202,0.0093361,0.46670821
20190721_RI512_CTCF-AID_AUX_102a_102b_SIR_2C_ALN_THR_57,0.139,1.160740189,0.676987291,4,0.03045,0.301630435,0.080648302
20190721_RI512_CTCF-AID_AUX_102a_102b_SIR_2C_ALN_THR_58,0.07,0.916759758,0.771977982,2,0.0319,0.163663664,0.166835581
20190721_RI512_CTCF-AID_AUX_102a_102b_SIR_2C_ALN_THR_59,0.0656,0.879773505,0.757996467,2,0.0309,0.212710765,0.176355207
20190721_RI512_CTCF-AID_AUX_102a_102b_SIR_2C_ALN_THR_5,0.0928,1.010921886,0.74967907,3,0.0266,0.031177829,0.418299076
20190721_RI512_CTCF-AID_AUX_102a_102b_SIR_2C_ALN_THR_60,0.0506,0.802183369,0.880085078,1,0.0506,0.074193548,0.36808934
20190721_RI512_CTCF-AID_AUX_102a_102b_SIR_2C_ALN_THR_61,0.0816,0.940906601,0.766378004,3,0.023466667,0.005727377,0.561493554
20190721_RI512_CTCF-AID_AUX_102a_102b_SIR_2C_ALN_THR_62,0.0876,1.097540645,0.710394969,2,0.0432,0.093902439,0.296727599
20190721_RI512_CTCF-AID_AUX_102a_102b_SIR_2C_ALN_THR_63,0.079,0.89669572,0.791429651,2,0.0358,0,0.755475052
20190721_RI512_CTCF-AID_AUX_102a_102b_SIR_2C_ALN_THR_64,0.0848,1.192351995,0.661755255,3,0.0252,0.068807339,0.234949529
20190721_RI512_CTCF-AID_AUX_102a_102b_SIR_2C_ALN_THR_65,0.043,0.738618146,0.878764523,1,0.043,0.117419355,0.347802459
20190721_RI512_CTCF-AID_AUX_102a_102b_SIR_2C_ALN_THR_66,0.0558,0.789457532,0.867341667,1,0.0558,0.133769878,0.344232356
20190721_RI512_CTCF-AID_AUX_102a_102b_SIR_2C_ALN_THR_6,0.0812,1.146127267,0.687397873,3,0.0252,0.122144985,0.404889517
20190721_RI512_CTCF-AID_AUX_102a_102b_SIR_2C_ALN_THR_7,0.0766,0.940661154,0.789298962,2,0.0349,NaN,NaN
20190721_RI512_CTCF-AID_AUX_102a_102b_SIR_2C_ALN_THR_8,0.052,1.028326221,0.69745449,2,0.0233,0.013257576,0.509196132
20190721_RI512_CTCF-AID_AUX_102a_102b_SIR_2C_ALN_THR_9,0.0654,0.902930985,0.807286393,1,0.0654,0.088359046,0.414543906
20190723_RI512_CTCF-AID_AUX_111_112_SIR_2C_ALN_THR_10,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20190723_RI512_CTCF-AID_AUX_111_112_SIR_2C_ALN_THR_11,0.1752,1.392460564,0.650655863,5,0.03004,NaN,NaN
20190723_RI512_CTCF-AID_AUX_111_112_SIR_2C_ALN_THR_12,0.1032,1.080383656,0.757696843,3,0.030066667,NaN,NaN
20190723_RI512_CTCF-AID_AUX_111_112_SIR_2C_ALN_THR_13,0.1524,1.168140697,0.703853367,3,0.0442,NaN,NaN
20190723_RI512_CTCF-AID_AUX_111_112_SIR_2C_ALN_THR_14,0.171,1.249671112,0.619678883,3,0.049733333,NaN,NaN
20190723_RI512_CTCF-AID_AUX_111_112_SIR_2C_ALN_THR_15,0.1244,1.161521202,0.718598785,3,0.037466667,NaN,NaN
20190723_RI512_CTCF-AID_AUX_111_112_SIR_2C_ALN_THR_16,0.1456,1.106345729,0.732537972,4,0.03065,NaN,NaN
